"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1784","Login to Home Page","","Thu Sep 04 12:07:49 UTC 2025","passed","Thu Sep 04 12:07:50 UTC 2025","","specs/homePage.spec.ts","",""
"","8355","Connect YouTube via Google OAuth","","Thu Sep 04 12:07:49 UTC 2025","skipped","Thu Sep 04 12:07:57 UTC 2025","","specs/socialConnect.spec.ts","",""
